publishedAt	blog	title	handle	author	tags	hasImage	bodyChars
2017-05-27T19:47:00Z	Testimonials	Glen Rock High School Golf Team Indoors - Glen Rock, New Jersey	glen-rock-high-school-golf-team-indoors-glen-rock-new-jersey	Paul Crawley	Pro Series Golf Net, Skytrak Golf Simulator	false	366
2017-05-07T21:33:00Z	Testimonials	Saul Ortiz - Rivervale, NJ	saul-ortiz	Paul Crawley		false	132
2017-05-06T19:13:00Z	Testimonials	Phillip Ahn - California	phillip-ahn-california	Paul Crawley		false	120
2017-05-01T19:42:00Z	Testimonials	Triumph Wheelchair Sports Festival - Bill Davis	triumph-wheelchair-sports-festival-bill-davis	Paul Crawley		false	305
2017-04-26T21:36:00Z	Testimonials	Aubrey Wierda (Portland, Maine) - I Love My Net!	aubrey-wierda-i-love-my-net	Paul Crawley		false	471
2017-04-08T23:30:00Z	Testimonials	Aussie Supporter	aussie-supporter	Paul Crawley		false	216
2017-04-05T15:40:00Z	The Net Return News	1st Quarter 2017 - "Win-A-Net" Winner Announced	1st-quarter-2017-win-a-net-winner-announced	Paul Crawley		true	303
2017-03-27T19:31:00Z	Testimonials	Nick Banks - PGA Pro at St. George's Golf & Country Club (New York)	nick-banks-pga-professional	Becky Anderson		false	376
2017-03-13T19:02:00Z	Testimonials	Sean Fister "The Beast" Long Drive Champion - 2017 PGA Show	sean-fister-2017-pga-show	Affirm Collaborator		false	349
2017-03-13T18:03:00Z	Testimonials	Chuck Veeder 2017 PGA Show	chuck-veeder-2017-pga-show	Affirm Collaborator		false	350
2017-03-13T18:00:00Z	Testimonials	Phillip Weavers 2017 PGA Show	phillip-weavers-2017-pga-show	Affirm Collaborator		false	353
2017-03-13T17:59:00Z	Testimonials	Mike Sullivan 2017 PGA Show	mike-sullivan-2017-pga-show	Affirm Collaborator		false	351
2017-03-13T17:56:00Z	Testimonials	Jamie 2017 PGA Show	jamie-2017-pga-show	Affirm Collaborator		false	344
2017-03-13T17:54:00Z	Testimonials	Dave Pezzino 2017 PGA Show	dave-pezzino-2017-pga-show	Affirm Collaborator		false	350
2017-03-11T05:00:00Z	Testimonials	Jeremy Parnell - Mentone, California	jeremy-parnell-mentone-california	Paul Crawley	Golf Net	false	663
2017-03-01T16:28:00Z	Testimonials	New England Patriots	patriots	Affirm Collaborator		true	118
2017-02-01T15:54:00Z	Testimonials	Adaptive Golf Showcase - 2018 PGA Merchandise Show	adaptive-golf-showcase-2018-pga-merchandise-show	Paul Crawley		false	139
2017-01-11T17:45:00Z	Testimonials	Clemson Tigers	clemson-tigers	Affirm Collaborator		true	114
2017-01-11T17:20:00Z	Testimonials	Jim Gauley - Zillah, WA	jim-gauley-zillah-wa	Paul Crawley		false	344
2017-01-06T15:55:00Z	The Net Return News	4th Quarter 2016 - "Win-A-Net" Winner Announced	4th-quarter-2016-win-a-net-winner-announced	Paul Crawley		true	317
2016-12-12T18:37:00Z	Testimonials	Mike Howell - Woodstock, Georgia	mike-howell-woodstock-georgia	Paul Crawley		false	137
2016-12-10T19:04:00Z	Testimonials	JDWalburg - Minnesota	jdwalburg-minnesota	Paul Crawley		false	122
2016-11-15T16:12:00Z	Testimonials	Dome Corporation (Japan Under Armour)- Hosei University	under-armour-japan-hosei-university	Paul Crawley		false	171
2016-11-09T21:08:00Z	Testimonials	Terry Yakle - Quincy, Illinois	terry-yakle-quincy-illinois	Paul Crawley		false	1880
2016-10-13T19:53:00Z	Testimonials	Thomas Lyons - Florida	thomas-lyons-florida	Paul Crawley		false	250
2016-10-03T16:26:00Z	The Net Return News	3rd Quarter 2016 - "Win-A-Net" Winner Announced	3rd-quarter-2016-win-a-net-winner-announced	Paul Crawley		true	318
2016-09-03T19:44:00Z	Testimonials	Eric Arango - Henderson, Nevada	eric-arango-henderson-nevada	Paul Crawley		false	217
2016-08-17T20:08:00Z	Testimonials	New York Jets	12957777-new-york-jets	Paul Crawley	Bergen Record Article	false	1025
2016-08-04T18:04:00Z	Testimonials	Norman Kronstadt - Weston, FL.	norman-kronstadt-weston-fl	Paul Crawley		false	517
2016-06-03T03:15:00Z	The Net Return News	2nd Quarter 2016 - Win-A-Net Winner Announced!	118203972-2nd-quarter-2016-win-a-net-winner-announced	Paul Crawley		true	301
2016-04-22T17:39:00Z	Testimonials	SkyTrak Golf	skytrak-golf-1	Paul Crawley		false	144
2016-04-12T15:47:00Z	Testimonials	Healthy Drive - Australia	healthy-drive-australia	Paul Crawley		false	234
2016-03-14T16:20:00Z	The Net Return News	1st Quarter, 2016 - "Win-A-Net" Winner Announced	113158724-1st-quarter-2016-win-a-net-winner-announced	Paul Crawley		true	293
2016-03-05T14:17:00Z	Testimonials	Titleist Performance Institute	88745412-titleist-performance-institute	Paul Crawley		true	825
2016-03-05T03:52:00Z	Testimonials	Office Golf - San Francisco, California	88815172-office-golf-san-francisco-california	Paul Crawley		false	1572
2016-03-04T18:04:00Z	Testimonials	Natali Gulbis - Fox and Friends	88749636-natali-gulbis-fox-and-friends	Paul Crawley		false	171
2016-03-04T17:01:00Z	Testimonials	Product Review - Dan at Golf Geek	88726596-product-review-dan-at-golf-geek	Paul Crawley		false	171
2016-03-04T16:28:00Z	Testimonials	Dallas Cowboys	88747844-dallas-cowboys	Paul Crawley		false	166
2016-03-04T12:55:00Z	Testimonials	Urban Golf Performance - Los Angeles, California	112734404-urban-golf-performance-los-angeles-california	Paul Crawley		false	320
2016-03-01T19:33:00Z	Testimonials	SkyTrak Golf	88751620-skytrak-golf	Paul Crawley		false	475
2016-03-01T04:14:00Z	Testimonials	Swim4Purpose - Ellicott City, Maryland	88816580-swim4purpose-ellicott-city-maryland	Paul Crawley		false	420
2016-02-29T21:59:00Z	Testimonials	Augustana College - Men's and Women's Golf Practice Facility	88801668-augustana-college-mens-and-womens-golf-practice-facility	Paul Crawley		false	477
2016-02-29T18:10:00Z	Testimonials	Pure Fitness - Chicago, Illinois	88789956-pure-fitness-chicago-illinois	Paul Crawley		false	217
2016-02-29T17:37:00Z	Testimonials	McNulty Family - Port Perry, Ontario	88787844-mcnulty-family-port-perry-ontario	Paul Crawley		false	617
2016-02-29T17:19:00Z	Testimonials	Kim Leonardich - Santa Cruz, CA	88786500-kim-leonardich-santa-cruz-ca	Paul Crawley		false	228
2016-02-29T16:50:00Z	Testimonials	Gavin - First Grader Winning Field Goal Kick	88784260-gavin-first-grader-winning-field-goal-kick	Paul Crawley		false	1183
2016-02-29T15:39:00Z	Testimonials	George Jamgochian - Franklin Lakes, NJ	88780868-george-jamgochian-franklin-lakes-nj	Paul Crawley		false	246
2016-02-29T15:34:00Z	Testimonials	David Charles - St. Lucia	88780484-david-charles-st-lucia	Paul Crawley		false	395
2016-02-28T23:08:00Z	Testimonials	Bill Bigler - Shreveport, Louisiana	88757124-bill-bigler-shreveport-louisiana	Paul Crawley		false	690
2016-02-28T22:57:00Z	Testimonials	Foresight Sports - GC2 Launch Monitors	88756932-foresight-sports-gc2-launch-monitors	Paul Crawley		false	321
2016-02-28T19:11:00Z	Testimonials	U.S. Military - Iraq	88751172-u-s-military-iraq	Paul Crawley	Golf Net Iraq U.S. Military	false	701
2016-02-28T18:44:00Z	Testimonials	U.S. Military - Afghanistan	88750724-u-s-military-afghanistan	Paul Crawley		false	326
2016-02-28T16:06:00Z	Testimonials	Dave DuPriest	88747076-dave-dupriest	Paul Crawley		false	583
2016-02-27T17:13:00Z	Testimonials	Evolution Fitness Chicago - Pro Series Golf Practice	88726980-evolution-fitness-chicago-pro-series-golf-practice	Paul Crawley		false	171
2016-02-27T16:38:00Z	Testimonials	Dr. Dan Fuentes	88726020-dr-dan-fuentes	Paul Crawley		false	173
2016-02-27T16:18:00Z	Testimonials	Nascar Driver - Kevin Harvick	88725764-nascar-driver-kevin-harvick	Paul Crawley		false	183
2016-02-22T20:26:00Z	Testimonials	Bardonia Physical Therapy Commercial	87322628-bardonia-physical-therapy-commercial	Paul Crawley		true	171
2016-02-16T20:05:00Z	Testimonials	Chuck Veeder - Middle Grove, NY	chuck-veeder-middle-grove-ny	Paul Crawley		false	1007
2016-02-16T16:43:00Z	Testimonials	Kurt Cummings - Fishers, Indiana	113247556-kurt-cummings-fishers-indiana	Paul Crawley		false	828
2016-02-06T19:09:00Z	Testimonials	Phillip Vickers - Minus 12 Degrees in Minnesota	85360900-phillip-vickers-minus-12-degrees-in-minnesota	Paul Crawley		false	467
2016-02-05T04:22:00Z	Testimonials	Ernest Sports	88817412-ernest-sports	Paul Crawley		false	266
2016-02-02T21:45:00Z	Testimonials	San Diego Chargers	88906628-san-diego-chargers	Paul Crawley		false	630
2016-01-21T15:05:00Z	Testimonials	Stephen Curry - Backyard Putting Green with Pro Series Net	stephen-curry-backyard-putting-green	Paul Crawley		false	153
2016-01-16T16:03:00Z	Testimonials	Roger Schultz - Crescent City, California	113244164-roger-schultz-crescent-city-california	Paul Crawley		false	449
2016-01-09T14:42:00Z	Testimonials	Sydney Harbour Bridge - Sydney, Australia	118478020-sydney-harbour-bridge-sydney-australia	Paul Crawley		false	374
2016-01-03T21:39:00Z	Testimonials	SkyTrak Golf	88905668-skytrak-golf	Paul Crawley		false	677
2016-01-03T04:31:00Z	Testimonials	KVest - 3D Motion Capture	88817668-kvest-3d-motion-capture	Paul Crawley		false	462
2016-01-02T22:54:00Z	The Net Return News	4th Quarter "Win-A-Net" Winner Announced	82588356-4th-quarter-win-a-net-winner-announced	Paul Crawley		true	371
2015-12-27T19:22:00Z	Testimonials	Ian Necus - La Crescenta, California	ian-necus-la-crescenta-california	Paul Crawley		false	231
2015-12-27T16:58:00Z	Testimonials	Mark - East Brunswick, New Jersey	114273476-mark-east-brunswick-new-jersey	Paul Crawley		false	171
2015-12-10T19:33:00Z	Testimonials	The Net Return - Soccer Practice	the-net-return-soccer-practice	Paul Crawley		false	171
2015-11-30T15:55:00Z	Testimonials	Jacksonville Jaguars NFL	114421444-jacksonville-jaguars-nfl	Paul Crawley		false	751
2015-11-15T16:38:00Z	Testimonials	Jacob Sever	jacob-sever	Paul Crawley		false	171
2015-10-21T00:26:00Z	Testimonials	Wake Forest University - Demon Deacons Football	113555332-wake-forest-university-demon-deacons-football	Paul Crawley		false	737
2015-10-05T05:00:00Z	Testimonials	Horace Pennix - Gambrills, Maryland	13183461-horace-pennix-gambrills-maryland	Paul Crawley		false	319
2015-09-21T16:22:00Z	Testimonials	Brad Downs - Farmington, Missouri	brad-downs-farmington-missouri	Paul Crawley		false	526
2015-09-03T19:14:00Z	Testimonials	Florida International University - Extra Point Kicking Net	florida-international-university-extra-point-kicking-net	Paul Crawley		false	222
2015-09-02T17:19:00Z	Testimonials	Nike - World Cup Soccer Net	114690244-nike-world-cup-soccer-net	Paul Crawley		false	753
2015-08-31T14:09:00Z	Testimonials	Juan Camilo Hernandez - Bogota, Columbia	juan-camilo-hernandez-bogota-columbia	Paul Crawley		false	218
2015-07-30T03:43:00Z	Testimonials	Paralympic Experience - Adaptive Golf Institute	88817924-paralympic-experience-adaptive-golf-institute	Paul Crawley		false	603
2015-07-12T17:40:00Z	Testimonials	Augustana College - Football	113041348-augustana-college-football	Paul Crawley		false	651
2015-07-03T17:35:00Z	The Net Return News	June - "Win-a-Net" Contest Winner Announced	34866500-june-win-a-net-contest-winner-announced	Paul Crawley		true	909
2015-07-02T18:45:00Z	The Net Return News	Improved Pro Series Frame	34837764-improved-pro-series-frame	Paul Crawley		true	2015
2015-06-02T19:44:00Z	Testimonials	Sixth Division - Chandler, Arizona	112899076-sixth-division-chandler-arizona	Paul Crawley		false	341
2015-04-30T03:33:00Z	Testimonials	Françoise and Thierry Le Guilloux - Nante, France	88817796-francoise-and-thierry-le-guilloux-nante-france	Paul Crawley		false	257
2015-04-23T19:15:00Z	Testimonials	Bill Stafford - Milltown, New Jersey	88900484-bill-stafford-milltown-new-jersey	Paul Crawley		false	171
2015-04-04T05:00:00Z	Testimonials	Lyndon Lobo - Edmonton Alberta, Canada	13183473-lyndon-lobo-edmonton-alberta-canada	Paul Crawley		false	1100
2015-04-02T17:52:00Z	Testimonials	About Golf - Golf Simulators 2009 PGA Show	88898116-about-golf-golf-simulators-2009-pga-show	Paul Crawley		false	305
2015-03-27T15:45:00Z	Testimonials	Greg - Garden State Golf Expo	114273156-greg-garden-state-golf-expo	Paul Crawley		false	171
2015-03-11T21:26:00Z	Testimonials	Louisville Cardinals	113016324-louisville-cardinals	Paul Crawley		false	682
2015-03-08T12:23:00Z	Testimonials	Jason Geil - Lexington, Kentucky	112735364-jason-geil-lexington-kentucky	Paul Crawley		false	351
2015-03-04T21:51:00Z	Testimonials	Florida State University	88906884-florida-state-university	Paul Crawley		false	457
2015-03-02T20:18:00Z	Testimonials	Rick Joyce - Freehold, New Jersey	88900740-rick-joyce-freehold-new-jersey	Paul Crawley		false	171
2015-02-21T06:00:00Z	Testimonials	Jonathan Wellum - Toronto, Canada	13183565-jonathan-wellum-toronto-canada	Paul Crawley		false	372
2015-02-19T06:00:00Z	Testimonials	Steve Griffiths - Greenwich, Connecticut	13183573-steve-griffiths-greenwich-connecticut	Paul Crawley		false	969
2015-02-07T06:00:00Z	Testimonials	Michael Gabbay - Los Angeles, California	13183265-michael-gabbay-los-angeles-california	Paul Crawley		false	1723
2015-01-02T20:10:00Z	Testimonials	Jonathan Brisbane - Decatur, Georgia	88900292-jonathan-brisbane-decatur-georgia	Paul Crawley		false	171
2014-12-18T06:00:00Z	Testimonials	Bland McCartha - Beaverton, Oregon	13183581-bland-mccartha-beaverton-oregon	Paul Crawley		false	2192
2014-12-16T01:39:00Z	Testimonials	Washington State University Football	113216900-washington-state-university-football	Paul Crawley		false	618
2014-12-12T18:48:00Z	Testimonials	Rob Momono - Pinole, California	rob-momono-pinole-california	Paul Crawley		false	331
2014-11-25T06:00:00Z	Testimonials	William Morton - Plymouth, Massachusetts	13183533-william-morton-plymouth-massachusetts	Paul Crawley		false	344
2014-08-26T03:48:00Z	Testimonials	Carroll High School Football - Dayton, Ohio	114242372-carroll-high-school-football-dayton-ohio	Paul Crawley		false	463
2014-06-21T00:38:00Z	Testimonials	Reality Realty Professionals	113556036-reality-realty-professionals	Paul Crawley		false	819
2014-04-28T14:33:00Z	Testimonials	Colgate University	114299204-colgate-university	Paul Crawley		false	631
2014-04-06T17:07:00Z	The Net Return News	New Product Release - Pro Series XL	13424189-new-product-release-pro-series-xl	Paul Crawley	Golf Net, Large Golf Net, Pro Series XL, The Net Return New Product	false	2941
2014-03-29T15:30:00Z	Testimonials	University of Georgia Bulldogs - Football	114353924-university-of-georgia-bulldogs-football	Paul Crawley		false	730
2014-03-27T15:19:00Z	Testimonials	Decorah Vikings Football - Decorah, Iowa	114272388-decorah-vikings-football-decorah-iowa	Paul Crawley		false	947
2014-03-26T15:26:00Z	Testimonials	Kansas State Football	114249668-kansas-state-football	Paul Crawley		false	915
2014-03-23T06:30:00Z	Testimonials	Ford Newell - TPC Wakefield Plantation	13181653-ford-newell-tpc-wakefield-plantation	Paul Crawley		false	1124
2014-03-21T05:00:00Z	Testimonials	Toshiyo Hayashi	13181821-toshiyo-hayashi	Paul Crawley		false	737
2014-03-17T05:00:00Z	Testimonials	Matt Papes	13181997-matt-papes	Paul Crawley		false	2320
2014-03-16T05:00:00Z	Testimonials	Coach Dave Jennings - Central Alabama Community College	13183249-coach-dave-jennings-central-alabama-community-college	Paul Crawley		false	3218
2014-03-14T21:31:00Z	Testimonials	Illinois State - Football	113118980-illinois-state-football	Paul Crawley		false	624
2014-03-14T17:12:00Z	Testimonials	Sky Golf - Roberto Borgatti	15054161-sky-golf-roberto-borgatti	Paul Crawley		false	267
2014-03-14T05:00:00Z	Testimonials	Christopher Lane	13182129-christopher-lane	Paul Crawley		false	252
2014-03-13T22:30:00Z	Testimonials	Ricky Krautman	13182181-ricky-krautman	Paul Crawley		false	908
2014-03-12T21:34:00Z	Testimonials	Ingolf Goetz - Ontario, Canada	25688324-ingolf-goetz-ontario-canada	Paul Crawley	Tennis	false	437
2014-03-11T21:35:00Z	Testimonials	Arkansas Razorbacks	113016452-arkansas-razorbacks	Paul Crawley		false	709
2014-03-11T05:00:00Z	Testimonials	Carl Derian - Troy, Michigan	13182269-carl-derian-troy-michigan	Paul Crawley		false	1096
2014-03-09T06:00:00Z	Testimonials	Dr. Jeffrey B. Sommer - TPI Level 3	13182453-dr-jeffrey-b-sommer-tpi-level-3	Paul Crawley		false	401
2014-03-08T13:17:00Z	Testimonials	Blair Hillmer - Saskatchewan, Canada	112735044-blair-hillmer-saskatchewan-canada	Paul Crawley		false	275
2014-03-06T06:00:00Z	Testimonials	Dewey Bookholdt	13182689-dewey-bookholdt	Paul Crawley	Golf Net	false	1906
2014-03-05T21:40:00Z	Testimonials	Western Kentucky University - Men's Golf	88800772-western-kentucky-university-mens-golf	Paul Crawley		false	736
2014-03-03T16:52:00Z	Testimonials	John Hughes - Mahwah, NJ	15237245-john-hughes-mahwah-nj	Paul Crawley		false	412
2014-03-03T06:00:00Z	Testimonials	Arlen "Biff" Brown - King George, Virginia	13183481-arlen-biff-brown-king-george-virginia	Paul Crawley		false	500
2014-03-02T20:24:00Z	Testimonials	Ruth - New Jersey	88900996-ruth-new-jersey	Paul Crawley		false	171
2014-03-02T06:00:00Z	Testimonials	Chris Ball - Grand Rapids, Michigan	13183493-chris-ball-grand-rapids-michigan	Paul Crawley		false	495
2014-03-01T06:00:00Z	Testimonials	Steve Campbell - Salem College Men's Golf Coach	13183505-steve-campbell-salem-college-mens-golf-coach	Paul Crawley		false	860
2014-02-28T19:01:00Z	Testimonials	Military Medical Centers and VA Hospitals	88750980-military-medical-centers-and-va-hospitals	Paul Crawley		false	198
2014-02-28T06:00:00Z	Testimonials	Darrin Stephens - Goldsboro, North Carolina	13183513-darrin-stephens-goldsboro-north-carolina	Paul Crawley		false	459
2014-02-27T06:00:00Z	Testimonials	Douglas Keller - West Chester, Pennsylvania	13183517-douglas-keller-west-chester-pennsylvania	Paul Crawley		false	257
2014-02-26T06:00:00Z	Testimonials	Tom Landers - Golfing Magazine	13182773-tom-landers-golfing-magazine	Paul Crawley	Golfing Magazine	false	1443
2014-02-24T06:00:00Z	Testimonials	Charles Veeder - Middle Grove, New York	13183537-charles-veeder-middle-grove-new-york	Paul Crawley		false	881
2014-02-23T06:00:00Z	Testimonials	Chuck Stogel - CBS Sports	13182797-chuck-stogel-cbs-sports	Paul Crawley		false	396
2014-02-22T06:00:00Z	Testimonials	Jay Sapovits - Wentworth Hills Golf Club	13183549-jay-sapovits-wentworth-hills-golf-club	Paul Crawley		false	99
2014-02-20T06:00:00Z	Testimonials	Harold Farley - Titusville, Pennsylvania	13182913-harold-farley-titusville-pennsylvania	Paul Crawley		false	1339
2014-02-17T06:00:00Z	Testimonials	Bonnie O'Brien - Greely, Ontario Canada	13183597-bonnie-obrien-greely-ontario-canada	Paul Crawley		false	400
2014-02-15T06:00:00Z	Testimonials	Jeff Perry - Illinois	13183029-jeff-perry-illinois	Paul Crawley		false	1614
2014-02-14T06:00:00Z	Testimonials	Paul Dunbar - South Setauket, New York	13183625-paul-dunbar-south-setauket-new-york	Paul Crawley		false	474
2014-02-13T06:00:00Z	Testimonials	Jason Lee - Gardena, California	13183065-jason-lee-gardena-california	Paul Crawley		false	298
2014-02-01T15:47:00Z	Testimonials	Wagner College - Staten Island, New York	114645956-wagner-college-staten-island-new-york	Paul Crawley		false	140
2013-10-11T05:00:00Z	Testimonials	Brian Grenda - Weston, Florida	13197825-brian-grenda-weston-florida	Paul Crawley		false	212
2013-10-11T05:00:00Z	Testimonials	Jay Cohen - Long Island, NY	13197769-jay-cohen-long-island-ny	Paul Crawley		false	544
2013-03-31T18:37:00Z	Testimonials	Missouri State - Football	114593284-missouri-state-football	Paul Crawley		false	911
2013-03-01T15:34:00Z	Testimonials	Monmouth College - Football	114645508-monmouth-college-football	Paul Crawley		false	709
